Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese
&Text.Inmates.Banter	Quase arrancaram um olho com esse bambolê...	Hat sich mit ’nem Hula-Hoop-Reifen fast das Auge ausgeschlagen	Il a failli se crever l'œil avec un cerceau.	Casi se saca un ojo con un hula hoop	Чуть ему глаз обручем не выбил	Gli ho quasi cavato un occhio con un hula hoop	一支呼啦圈让他眼珠都快掉出来了	フラフープで目をえぐられかけた
&Text.Inmates.Banter	Esses monociclos säo letais!	Diese Einräder sind lebensgefährlich!	Ces monocycles sont mortels !	¡Esos monociclos son letales!	Да эти велосипеды — смертоубийство какое-то!	Quei monocicli sono letali!	那些单轮脚踏车是致命的！ 	あの一輪車は危険だ！  
&Text.Inmates.Banter	O público me odeia...	Das Publikum hasst mich …	Le public me déteste...	El público me odia...	Я зрителям не по душе…	Il pubblico mi odia...	观众都恨我…… 	観客に嫌われてる… 
&Text.Inmates.Banter	Preferia estar em Fort Tundra.	Ich wäre lieber in Fort Tundra	Je préférerais encore être au fort Toundra.	Preferiría estar en Fort Tundra	Лучше бы я был в форте «Тундра»	Preferirei trovarmi a Fort Tundra	我宁愿在苔原堡垒	フォートツンドラのほうがマシだ… 
&Text.Inmates.Banter	Aquele mágico se acha...	"Der Zauberer denkt, er wär toll …"	Ce magicien se prend pour un crack...	Ese mago cree que es genial...	"Фокусник думает, что он гений…"	Quel mago crede di essere eccezionale...	那个魔术师自认为很伟大…… 	あのうぬぼれマジシャンめ… 
&Text.Inmates.Banter	"Näo posso culpar as pessoas, mas eu näo pagaria para ver isso!"	"Ich kann es niemandem verübeln, ich würde auch kein Geld hierfür bezahlen"	"Les gens ont raison, je ne paierais pas pour voir ça non plus."	"No puedo culpar a la gente, yo no pagaría por ver esto"	Я не в обиде на зрителей. Я бы за такое тоже платить не стал	"Non biasimo il pubblico, io non pagherei per vedere questa roba"	我不怪这些小丑们， 但也不会花钱来看这个	観客に同情するね。 こんなの金をドブに捨てるようなもんだ
&Text.Inmates.Banter	Queria comer täo bem igual os leöes...	"Ich wünschte, wir bekämen so gutes Essen wie die Löwen"	Si seulement on était aussi bien nourris que ces lions...	Ojalá comiéramos tan bien como esos leones	"Вот если бы и нас так кормили, как тех львов…"	Vorrei mangiassimo bene come i leoni	我希望我们能和那些狮子吃得一样好	あのライオンたちみたいに腹一杯食べたいよなあ
&Text.Inmates.Banter	Espero que minha família näo venham ver o show...	Hoffentlich kommt meine Familie nicht zur Vorstellung	J'espère que ma famille ne viendra pas voir le spectacle.	Espero que mi familia no venga al espectáculo	"Надеюсь, никто из родных на представление не придет"	Spero che la mia famiglia non venga allo spettacolo	我希望我的家人不来看这个表演	家族が見にきてなきゃいいが
&Text.Inmates.Banter	Sinto que o elefante näo gosta de mim.	"Der Elefant mag mich nicht, ich spür’s genau"	J'ai l'impression que l'éléphant ne m'aime pas beaucoup.	Presiento que al elefante no le caigo bien	"Сдается мне, слон меня не любит"	Credo di non piacere all’Elefante	我感觉大象不喜欢我	あのゾウに嫌われてるわ
&Text.Inmates.Banter	"Isso sim que é entretenimento, näo é?"	"Das soll also Unterhaltung sein, ja?"	"Alors, ça, c'est du divertissement ?"	"Así que esto es entretenimiento, ¿eh?"	"Это должно быть весело, значит?"	"Quindi questo è intrattenimento, eh?"	所以这就算娱乐了， 哈？ 	なら、 こいつがエンタメか？ 
&Text.Inmates.Banter	Näo consigo evitar de comer as tortas de creme...	"Ich kann nicht anders, ich muss die Sahnetorten essen"	Je ne peux pas m'empêcher de manger ces tartes à la crème.	No puedo evitar comerme las tartas de crema	Не могу перестать есть торты с кремом	Non riesco a smettere di mangiare le torte alla crema	我忍不住吃掉了蛋奶派	パイを食べずにはいられない
&Text.Inmates.Banter	Um daqueles poodles roubou meu frango de borracha...	Einer der Pudel hat mein Gummihuhn geklaut	L'un de ces sales caniches m'a volé mon poulet en caoutchouc.	Uno de esos caniches me ha robado el pollo de goma	Один из пуделей стибрил мою резиновую курицу	Uno di quei barboncini ha rubato il mio pollo di gomma	其中一条狮子狗偷了我的橡胶鸡	あのプードルにゴムのアヒルを盗まれたぁ！  
&Text.Inmates.Banter	Näo há como passar por estes muros.	Durch die Außenwände kommt man einfach nicht	Pas moyen de franchir ces murs extérieurs.	No hay forma de atravesar esos muros exteriores	Мы не сможем пробраться через внешнее ограждение	Non c’è modo di oltrepassare quelle mura esterne	那些外墙是怎么也穿不过去的	あの外壁は突破できない
&Text.Inmates.Banter	Esta peruca coça muito!	Diese Perücke juckt vielleicht!	Cette perruque me gratte la tête !	¡Esta peluca pica mucho!	Вся голова от этого парика чешется!	Questa parrucca mi prude troppo!	这顶假发戴着真痒！ 	カツラがメッチャかゆい！  
&Text.Inmates.Banter	Näo há como passar pelos guardas do portäo!	An den Wärtern am Eingang kommt man nicht vorbei	Pas moyen de sortir avec ces gardes à l'entrée.	No hay forma de superar a esos guardias de la entrada	Мы не сможем пробраться через охрану на входе	È impossibile superare quelle guardie all’entrata	入口的那些警卫都过不去	入口の看守を突破することはムリだ
&Text.Inmates.Banter	Na minha sala eles me elegeram como o 'menos engraçado' 	In der Schule wurde ich als „weniger unterhaltsam geht nicht“ eingestuft 	J'ai reçu le prix du « camarade le moins drôle ». 	"En clase me votaron como el ""menos divertido"" "	Меня еще в школе занудой считали 	I miei compagni di classe mi hanno eletto il ‘meno divertente’ 	我的同学给我投了 “至少很有趣” 	小学校では“もっとも退屈で賞”を与えられたよ
&Text.Inmates.Banter	Meu repertório está... vazio.	Mein Repertoire ist … leer	Mon répertoire est... vide	Mi repertorio está... vacío	Мой репертуар состоит из… ничего	Il mio repertorio è.... Vuoto	我的保留节目是…… 空的	レパートリーは… 空っぽだ
&Text.Inmates.Banter	Queria poder usar collants...	Ich würde auch gern einen Gymnastikanzug tragen	J'aurais adoré porter un justaucorps...	Ojalá pudiese llevar leotardos	Мне бы тоже хотелось носить трико	Vorrei dover indossare una tutina	但愿我得穿上一身连体衣	レオタードを着たかったなぁ
&Text.Inmates.Banter	Ninguém está rindo.	Es lacht keiner	Personne ne rit.	Nadie se ríe	Никто не смеется	Non sta ridendo nessuno	没人在笑	誰も笑ってないし
								
								
&Text.NPC.Giuseppe	Como eu sinto falta de voar pelo ar...	Ich möchte soo gerne wieder durch die Luft fliegen …	Comme je me réjouis de faire un autre vol plané...	Cómo echo de menos volar por el aire...	Как же хочется опять летать под куполом…	Quanto desidero volare di nuovo in aria...	我多么渴望再次翱翔云巅	もう一度空を飛びたいねぇ… 
&Text.NPC.Giuseppe	Queria que alguém consertasse o meu canhäo!	"Ich wünschte, IRGENDWER würde meine Kanone reparieren!"	Si seulement QUELQU'UN pouvait réparer mon canon !	¡Ojalá ALGUIEN arreglara mi cañón!	Вот бы ХОТЬ КТО-ТО починил мою пушку!	Se solo QUALCUNO aggiustasse il mio cannone!	我希望能有人来修好我的大炮	誰か、 オレの大砲を直してくれ！  
&Text.NPC.Giuseppe	Eu nasci para voar!	Ich bin zum Fliegen geboren!	Voler ? Tel est mon destin.	¡Nací para volar!	Я был рожден летать!	Sono nato per volare!	我为飞翔而生！ 	オレは飛ぶために生まれてきた！  
&Text.NPC.Giuseppe	A manutençäo daqui é uma piada...	Die Wartungsleute hier sind echt ein Witz …	"Le personnel d'entretien, ici, c'est une blague..."	El mantenimiento de aquí es una broma...	Завхоз здесь только для галочки...	"La manutenzione è scandalosa, qui..."	维护在这儿就是个笑话…… 	ぶっ壊れたらそのままかよ… 
&Text.NPC.Giuseppe	"O primeiro, o único... Giuseppe, O Voador!"	"Der einzige, der wahre … der Fliegende Giuseppe!"	"Le seul, l'unique... Giuseppe l'homme volant !"	"El mito, la leyenda... ¡el Giuseppe volador!"	Единственный и неповторимый… Крылатый Джузеппе!	"L’unico, l’inimitabile... Giuseppe, l’essere volante!"	命定的，唯一的…… 飞翔朱塞佩！ 	唯一無二たる… 空飛ぶジュゼッペ！  
&Text.NPC.Giuseppe	Acho que preciso aprender outros truques.	Vielleicht sollte ich einen neuen Trick lernen	Je devrais peut-être apprendre un nouveau numéro.	Puede que tenga que aprenderme otro truco	"Может, мне нужно научиться делать что-то другое"	Forse avrò bisogno di imparare un altro numero	我也许需要学学新的戏法	別の出し物を覚えないとダメか
&Text.NPC.Giuseppe	Preciso de um hobby.	Ich brauche ein Hobby	Il faut que je me trouve une passion.	Necesito un hobby	Мне нужно хобби	Ho bisogno di un passatempo	我需要一个嗜好	趣味が必要だ
								
								
&Text.NPC.Magician	Queria fazer uma mágica para aumentar o meu salário.	"Ich wünschte, ich könnte meine Lohntüte größer zaubern"	Si seulement j'avais un tour de magie qui augmenterait mon salaire...	Desearía poder aumentar mágicamente mi sueldo	"Жалко, нет такого фокуса, от которого бы конверт с зарплатой вырос"	Vorrei poter magicamente aumentare la mia busta paga	我希望我能神奇地变鼓我的工资袋	マジックで給料も増やせたらなぁ
&Text.NPC.Magician	"Do nada, uma sensaçäo de fracasso..."	"Da ist es, aus dem Nichts, das Gefühl, nicht genug zu leisten …"	"Tout à coup, je me sens particulièrement médiocre..."	"De la nada, una sensación de fracaso..."	И тут вдруг я начинаю комплексовать из-за отсутствия достижений…	"All’improvviso, un sensazione di fallimento"	不知怎么地，有种低劣感…… 	どこからともなく、 劣等感の影が… 
&Text.NPC.Magician	Eu deveria estar na TV...	Ich sollte im Fernsehen auftreten	Je devrais faire de la télévision.	Debería estar en la TV	Меня должны по телевизору показывать	Dovrei essere in TV	我应该上电视	テレビに出たいぞ
&Text.NPC.Magician	Continuo perdendo a minha varinha...	Immer verlege ich meinen Zauberstab	Je n'arrête pas d'égarer ma baguette.	No dejo de perder mi varita	Куда я постоянно волшебную палочку деваю?	Continuo a dimenticare dove metto la bacchetta	总是放错我的魔杖	いつも杖を置き忘れてしまう
&Text.NPC.Magician	"Escolha uma carta! Qualquer carta..."	"Zieh eine Karte, irgendeine Karte …"	"Prenez une carte, n'importe laquelle..."	Escoge cualquier carta…	Выберите карту. Любую…	"Scegli una carta, una qualsiasi..."	选张牌，随便哪张…… 	カードを選べ、 どのカードでもいい… 
&Text.NPC.Magician	Pelo menos tenho o meu próprio vagäo.	Wenigstens hab ich meinen eigenen Wagen	"Au moins, j'ai ma propre loge."	El menos tengo mi propio vagón	"Ну, зато у меня свой собственный фургон"	Almeno ho la mia carrozza	至少我有自己的马车	自分の楽屋があるだけマシか… 
&Text.NPC.Magician	Quando um caça talentos irá me encontrar?	Wann entdeckt mich endlich ein Talentsucher?	Quand reconnaîtra-t-on enfin mon talent ?	¿Cuando me encontrará un cazatalentos?	Когда мой талант уже заметят?	Quando scopriranno il mio talento?	何时我才能遇上伯乐呢？ 	わが才能はいつ認められるのだ？ 
&Text.NPC.Magician	Por que o Show de Talentos da TV me rejeitou?	Warum hat mich die Talentshow im Fernsehen abgelehnt?	Mais qu'attendent les recruteurs de talents ?!	¿Por qué me rechazó el programa de talentos de la TV?	Почему мне отказали на шоу талантов?	Perché i talent show in TV mi hanno respinto?	为什么电视才艺秀拒绝了我？ 	なぜ、 テレビに出してもらえない？ 
&Text.NPC.Magician	Sabia que eu sou melhor do que os críticos dizem?	"Ich bin besser, als die Kritiker sagen, das ist klar"	"J'ai plus de talent que ne le disent les critiques, vous savez."	¿Sabes qué? Soy mejor de lo que dicen los críticos	"Критики обо мне неоправданно низкого мнения, между прочем"	Sono meglio di ciò che dice la critica	我比那些评论家说的好多了你知道吗	私は世間の評判以上に素晴らしいぞ
&Text.NPC.Magician	Onde está a minha assistente? 	Wo ist meine Assistentin? 	Où est mon assistante ? 	¿Dónde está mi asistente? 	Где моя ассистентка? 	Dov’è il mio assistente? 	我的助手去哪儿了？ 	わがアシスタントはどこだ？ 
								
								
&Text.GuardDog.Doggie	Grrrr	Grrr	Grrrr	¡Grrrr…!	Р-р-р	Grrrr	吼	ガルルルル
&Text.GuardDog.Doggie	Grrrr	Knurr	Groaar	Gruñido	Рычит	Grrrr	低吼	ウーッ
&Text.Chase.Missing.Doggie	(Ofegante)	Hechel	*Halète*	Jadeo	Пыхтение	(Ofegante)	裤子	ハッハッ
&Text.Inmates.Attacked.Doggie	Grrrr	Knurr	Groaar	Gruñido	Рычит	Grrrr	低吼	ウウウウ
&Text.GuardDog.Doggie	Au Au	Wuff	Ouaf	Guau	Гав	Bau	汪	ワン
&Text.GuardDog.Doggie	Au Au	Wuff	Ouaf	Guau	Гав	Bau	汪	ワン
&Text.Love.Doggie	Au Au	Wuff	Ouaf	Guau	Гав	Bau	汪	ワン
&Text.Chase.Missing.Doggie	Au Au	Wuff	Ouaf	Guau	Гав	Bau	汪	ワン
&Text.Contraband.Doggie	AU AU	WUFF WUFF	OUAF OUAF	"GUAU, GUAU"	ГАВ-ГАВ	BAU BAU	汪 汪	ワンワン
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
END								
